number,value,datetime_start,datetime_complete,duration,params_flag_0,params_flag_1,params_flag_10,params_flag_11,params_flag_12,params_flag_13,params_flag_14,params_flag_15,params_flag_16,params_flag_17,params_flag_18,params_flag_19,params_flag_2,params_flag_20,params_flag_21,params_flag_22,params_flag_23,params_flag_24,params_flag_25,params_flag_26,params_flag_27,params_flag_28,params_flag_29,params_flag_3,params_flag_4,params_flag_5,params_flag_6,params_flag_7,params_flag_8,params_flag_9,state
0,-0.061585179551181646,2025-06-21 05:36:27.170168,2025-06-21 05:36:27.507184,0 days 00:00:00.337016,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,1,1,1,0,0,1,0,1,1,1,0,1,1,0,1,COMPLETE
1,0.13089250514453116,2025-06-21 05:36:27.508740,2025-06-21 05:36:28.097727,0 days 00:00:00.588987,1,0,0,0,0,1,1,1,1,1,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,1,0,COMPLETE
2,-0.02159903706587531,2025-06-21 05:36:28.099286,2025-06-21 05:36:28.434682,0 days 00:00:00.335396,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,COMPLETE
3,-0.04204314921333178,2025-06-21 05:36:28.436196,2025-06-21 05:36:28.888400,0 days 00:00:00.452204,0,1,0,1,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,1,1,1,COMPLETE
4,0.048122036280530155,2025-06-21 05:36:28.889955,2025-06-21 05:36:29.265827,0 days 00:00:00.375872,1,1,0,1,1,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,COMPLETE
5,-0.013593425686027767,2025-06-21 05:36:29.267349,2025-06-21 05:36:29.604767,0 days 00:00:00.337418,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,0,1,0,0,0,1,1,0,0,1,1,1,1,1,COMPLETE
6,-0.0632314814858907,2025-06-21 05:36:29.606243,2025-06-21 05:36:30.064981,0 days 00:00:00.458738,1,0,1,0,1,0,0,1,1,0,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,0,1,1,1,1,COMPLETE
7,-0.03201226241016484,2025-06-21 05:36:30.066587,2025-06-21 05:36:30.447160,0 days 00:00:00.380573,1,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,COMPLETE
8,0.05867554474380144,2025-06-21 05:36:30.448647,2025-06-21 05:36:30.795763,0 days 00:00:00.347116,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,COMPLETE
9,0.0006484942243430123,2025-06-21 05:36:30.797226,2025-06-21 05:36:31.290416,0 days 00:00:00.493190,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,COMPLETE
10,0.12188092668890138,2025-06-21 05:36:31.291834,2025-06-21 05:36:31.722770,0 days 00:00:00.430936,1,0,0,0,0,1,1,0,1,1,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,COMPLETE
11,0.12998817301636897,2025-06-21 05:36:31.724250,2025-06-21 05:36:32.310701,0 days 00:00:00.586451,1,0,0,0,0,0,1,1,1,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,1,1,COMPLETE
12,-0.017355688003078684,2025-06-21 05:36:32.312142,2025-06-21 05:36:32.745652,0 days 00:00:00.433510,1,1,0,0,0,0,0,1,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,1,COMPLETE
