date,type,price,shares,amount,action
2017-01-13,buy,6194.657,1.6142943830465513,10000.0,买入 1.61份
2017-02-09,buy,6331.177,1.579485141546351,10000.0,买入 1.58份
2017-02-10,buy,6337.108,1.5780068763227642,10000.0,买入 1.58份
2017-02-13,buy,6369.652,1.5699444804833922,10000.0,买入 1.57份
2017-03-31,buy,6401.647,1.562098003841824,10000.0,买入 1.56份
2017-04-05,buy,6539.966,1.5290599370088467,10000.0,买入 1.53份
2017-04-11,sell,6629.166,9.43288882224973,62532.18586223795,卖出 9.43份
2017-04-19,buy,6350.646,1.574642957582583,10000.0,买入 1.57份
2017-04-20,buy,6347.773,1.5753556404742262,10000.0,买入 1.58份
2017-04-21,buy,6300.712,1.5871222172986164,10000.0,买入 1.59份
2017-06-16,buy,6012.999,1.6630636392921403,10000.0,买入 1.66份
2017-06-19,buy,6057.411,1.650870314066521,10000.0,买入 1.65份
2017-06-20,buy,6066.904,1.6482871659086742,10000.0,买入 1.65份
2017-06-21,buy,6078.192,1.6452260803870624,10000.0,买入 1.65份
2017-07-18,buy,5938.434,1.6839456328048774,10000.0,买入 1.68份
2017-07-21,buy,6126.108,1.6323577710350519,10000.0,买入 1.63份
2017-08-21,sell,6403.78,14.660871418849753,93884.99517460167,卖出 14.66份
2017-10-31,buy,6560.205,1.5243426081959328,10000.0,买入 1.52份
2017-11-01,buy,6552.954,1.5260293296733047,10000.0,买入 1.53份
2017-11-02,buy,6484.925,1.5420378801605261,10000.0,买入 1.54份
2017-11-03,buy,6426.979,1.555940979424392,10000.0,买入 1.56份
2017-11-13,buy,6671.205,1.4989795696579553,10000.0,买入 1.50份
2017-11-16,buy,6558.308,1.5247835264827452,10000.0,买入 1.52份
2017-11-17,buy,6361.941,1.5718473340133146,10000.0,买入 1.57份
2018-01-03,buy,6388.253,1.565373193578902,10000.0,买入 1.57份
2018-01-04,buy,6417.535,1.5582306913791666,10000.0,买入 1.56份
2018-01-05,buy,6417.253,1.558299166325529,10000.0,买入 1.56份
2020-07-13,sell,6899.5175,15.425864278891769,106431.02054483864,卖出 15.43份
2020-09-08,buy,6525.098,1.5325440322888637,10000.0,买入 1.53份
2020-09-09,buy,6349.2234,1.5749957703488588,10000.0,买入 1.57份
2020-09-10,buy,6235.5687,1.6037029629711241,10000.0,买入 1.60份
2020-10-15,buy,6460.0408,1.5479778393969277,10000.0,买入 1.55份
2020-10-19,buy,6358.3213,1.57274216387901,10000.0,买入 1.57份
2020-11-16,buy,6387.371,1.565589348105817,10000.0,买入 1.57份
2020-11-17,buy,6336.9406,1.5780485617933677,10000.0,买入 1.58份
2020-11-19,buy,6360.5998,1.57217877471241,10000.0,买入 1.57份
2020-11-20,buy,6422.9854,1.5569084120913619,10000.0,买入 1.56份
2020-12-11,buy,6209.427,1.6104545556296903,10000.0,买入 1.61份
2021-01-04,buy,6482.7868,1.5425464863351668,10000.0,买入 1.54份
2021-01-22,sell,6637.8052,17.2576889075526,114553.17717053495,卖出 17.26份
2021-02-03,buy,6399.3315,1.5626632250571797,10000.0,买入 1.56份
2021-02-04,buy,6328.7881,1.580081342903549,10000.0,买入 1.58份
2021-02-05,buy,6239.8709,1.60259725886316,10000.0,买入 1.60份
2021-02-18,buy,6614.5443,1.5118199450262961,10000.0,买入 1.51份
2021-02-19,sell,6703.4821,6.2571617718501855,41944.771934402,卖出 6.26份
2021-03-04,buy,6401.9917,1.5620138963941488,10000.0,买入 1.56份
2021-03-05,buy,6403.4964,1.5616468528037277,10000.0,买入 1.56份
2021-03-08,buy,6256.4092,1.5983609256248776,10000.0,买入 1.60份
2021-04-07,buy,6348.0761,1.5752804223629266,10000.0,买入 1.58份
2021-04-08,buy,6356.7526,1.5731302803887632,10000.0,买入 1.57份
2021-04-12,buy,6226.4182,1.6060598049774426,10000.0,买入 1.61份
2021-04-13,buy,6209.7801,1.6103629820965801,10000.0,买入 1.61份
2021-04-16,buy,6339.5906,1.5773889247674762,10000.0,买入 1.58份
2021-04-19,buy,6425.2606,1.5563571071343005,10000.0,买入 1.56份
2021-05-18,sell,6599.5985,14.220601196550243,93850.25832585119,卖出 14.22份
2021-07-29,buy,6758.8869,1.4795335604742845,10000.0,买入 1.48份
2021-07-30,buy,6767.316,1.4776907122410126,10000.0,买入 1.48份
2021-08-02,buy,6872.0004,1.4551803576728546,10000.0,买入 1.46份
2021-08-04,buy,6931.3365,1.4427232035264772,10000.0,买入 1.44份
2021-08-25,sell,7153.0043,5.855127833914629,41881.75457304103,卖出 5.86份
2021-09-29,buy,7010.2192,1.4264889177787765,10000.0,买入 1.43份
2021-09-30,buy,7103.6076,1.407735416015941,10000.0,买入 1.41份
2021-10-08,buy,7091.3356,1.4101715902431693,10000.0,买入 1.41份
2021-10-12,buy,6952.1903,1.438395608934928,10000.0,买入 1.44份
2021-11-19,buy,7169.8759,1.394724279676863,10000.0,买入 1.39份
2021-11-22,buy,7255.0736,1.3783457689526404,10000.0,买入 1.38份
2021-12-16,sell,7380.9974,8.455861581602319,62412.692348566605,卖出 8.46份
2022-01-07,buy,7175.676,1.3935969238298942,10000.0,买入 1.39份
2022-01-10,buy,7191.4511,1.3905399426271563,10000.0,买入 1.39份
2022-01-11,buy,7135.2232,1.401497853634067,10000.0,买入 1.40份
2022-05-23,buy,5965.7277,1.6762414415931186,10000.0,买入 1.68份
2022-05-24,buy,5745.6751,1.7404395177165517,10000.0,买入 1.74份
2022-05-25,buy,5844.2546,1.711082196863908,10000.0,买入 1.71份
2022-05-26,buy,5911.5607,1.6916006630871607,10000.0,买入 1.69份
2022-05-27,buy,5899.915,1.6949396728596937,10000.0,买入 1.69份
2022-05-30,buy,5942.8317,1.6826995117495924,10000.0,买入 1.68份
2022-05-31,buy,6026.2373,1.6594102592010442,10000.0,买入 1.66份
2022-06-28,sell,6501.352,16.04204798316219,104295.00073942746,卖出 16.04份
2022-07-25,buy,6231.2355,1.6048181777113062,10000.0,买入 1.60份
2022-07-28,buy,6348.1655,1.575258237990172,10000.0,买入 1.58份
2022-07-29,buy,6294.1144,1.5887858663642973,10000.0,买入 1.59份
2022-08-01,buy,6347.2211,1.5754926199120431,10000.0,买入 1.58份
2022-08-02,buy,6169.9961,1.6207465674086892,10000.0,买入 1.62份
2022-08-03,buy,6124.3146,1.6328357788804646,10000.0,买入 1.63份
2022-08-11,buy,6439.3586,1.5529496990585367,10000.0,买入 1.55份
2022-08-30,buy,6285.9273,1.5908551789964227,10000.0,买入 1.59份
2022-08-31,buy,6155.7455,1.6244986086575541,10000.0,买入 1.62份
2022-11-04,buy,6133.4629,1.6304003404015046,10000.0,买入 1.63份
2022-11-07,buy,6141.4088,1.6282908898687871,10000.0,买入 1.63份
2022-12-16,buy,6072.8627,1.6466698646093219,10000.0,买入 1.65份
2022-12-19,buy,5936.4751,1.6845012960637198,10000.0,买入 1.68份
2023-04-07,sell,6464.4664,20.95610312592282,135470.02453246305,卖出 20.96份
2023-04-24,buy,6208.7797,1.610622454521941,10000.0,买入 1.61份
